Estado,Fecha,Año,Mes,Temperatura,Precipitacion,Humedad,PM25,PM10,O3,NO2,SO2,CO,Poblacion,Densidad_Poblacional,Poblacion_Vulnerable_Pct,Casos_Respiratorios
CDMX,2020-04-01,2020,4,15.74,45.58,50.42,26.45,47.72,0.04624,0.03931,0.02096,0.922,9209944,6160.5,14.2,31713
Durango,2020-04-01,2020,4,18.47,68.49,56.15,13.98,27.42,0.04275,0.02122,0.00973,0.722,1832650,14.86,12.0,4532
Guanajuato,2020-04-01,2020,4,18.79,44.56,48.73,18.03,35.22,0.04505,0.02537,0.01532,0.814,6166934,201.49,12.2,16885
Guerrero,2020-04-01,2020,4,27.61,38.58,54.81,12.31,23.07,0.04577,0.01893,0.01101,0.555,3540685,55.67,13.8,6675
Hidalgo,2020-04-01,2020,4,18.42,47.84,43.18,12.11,34.5,0.03798,0.01787,0.01069,0.379,3082841,148.12,13.0,8103
Jalisco,2020-04-01,2020,4,20.11,66.36,56.48,17.4,28.24,0.03932,0.02668,0.01486,0.636,8348151,106.23,12.4,20233
Edomex,2020-04-01,2020,4,15.74,39.89,54.84,21.71,47.39,0.04048,0.03104,0.01729,0.805,16992418,760.05,11.9,55728
Michoacán,2020-04-01,2020,4,20.65,68.2,55.75,15.04,26.2,0.04559,0.02251,0.01254,0.522,4748846,81.04,13.2,12150
Morelos,2020-04-01,2020,4,21.22,36.63,48.44,19.92,42.11,0.04288,0.02831,0.01627,0.621,1971520,404.08,13.5,5441
Nayarit,2020-04-01,2020,4,23.74,30.45,51.88,12.95,17.69,0.03981,0.02143,0.01038,0.431,1235456,44.42,12.8,2661
Nuevo León,2020-04-01,2020,4,21.1,37.08,44.19,18.01,39.3,0.04602,0.02822,0.01581,0.599,5784442,90.16,10.8,13973
Oaxaca,2020-04-01,2020,4,21.91,38.99,62.69,10.63,17.02,0.04527,0.01626,0.00696,0.647,4132148,44.07,14.8,8395
Puebla,2020-04-01,2020,4,17.11,47.06,54.84,20.35,47.09,0.04401,0.03135,0.01529,0.871,6583278,191.9,12.6,19407
Querétaro,2020-04-01,2020,4,20.52,31.91,50.14,19.88,32.12,0.03977,0.03089,0.01711,0.617,2368467,202.71,11.2,6307
Quintana Roo,2020-04-01,2020,4,29.81,48.9,67.74,7.52,22.39,0.03952,0.01338,0.00518,0.241,1857985,41.56,9.5,3047
San Luis Potosí,2020-04-01,2020,4,21.0,66.68,57.92,17.39,36.1,0.03835,0.02422,0.0152,0.632,2822255,46.16,12.5,7262
Sinaloa,2020-04-01,2020,4,24.22,36.93,56.01,10.0,9.33,0.04099,0.01436,0.00822,0.501,3026943,52.77,12.0,5299
Sonora,2020-04-01,2020,4,21.44,15.26,27.79,16.29,35.01,0.04508,0.02571,0.01473,0.685,2944840,16.42,11.2,6943
Tabasco,2020-04-01,2020,4,26.62,99.76,63.19,10.78,15.73,0.04256,0.01633,0.0098,0.388,2402598,97.15,12.5,4195
Tamaulipas,2020-04-01,2020,4,21.91,50.27,51.29,13.69,26.99,0.0464,0.01983,0.0131,0.538,3527735,44.0,11.5,8145
Tlaxcala,2020-04-01,2020,4,15.02,35.15,58.55,17.17,36.33,0.04639,0.02104,0.01375,0.81,1342977,336.5,12.2,4152
Veracruz,2020-04-01,2020,4,23.54,108.35,61.39,13.42,22.71,0.04356,0.01985,0.01115,0.539,8062579,112.26,13.5,16505
Yucatán,2020-04-01,2020,4,23.49,32.63,72.16,12.35,31.25,0.04031,0.01799,0.01044,0.68,2320898,58.72,12.5,4404
Zacatecas,2020-04-01,2020,4,15.16,45.49,53.95,12.05,34.22,0.04445,0.01789,0.00944,0.439,1622138,21.55,12.8,4648
Aguascalientes,2020-05-01,2020,5,23.22,55.15,66.73,10.34,17.06,0.04611,0.01913,0.00828,0.413,1425607,253.76,11.5,3035
Baja California,2020-05-01,2020,5,21.49,71.45,73.76,16.07,27.49,0.04529,0.02213,0.01204,0.545,3769020,52.75,10.2,8091
Baja California Sur,2020-05-01,2020,5,23.7,20.29,68.63,3.38,10.66,0.04324,0.00299,0.00326,0.1,798447,10.8,9.8,1304
Campeche,2020-05-01,2020,5,30.73,174.54,66.06,5.08,6.44,0.05074,0.00421,0.00358,0.324,928363,16.03,12.0,1461
Chiapas,2020-05-01,2020,5,26.17,153.58,59.16,8.68,16.44,0.05228,0.01274,0.00598,0.457,5543828,75.64,14.5,9620
Chihuahua,2020-05-01,2020,5,25.37,16.28,45.92,4.33,22.26,0.04653,0.00634,0.00217,0.1,3741869,15.12,11.8,6196
Coahuila,2020-05-01,2020,5,29.18,62.36,44.31,14.03,29.45,0.04747,0.01908,0.01079,0.708,3146771,20.76,11.0,5335
Colima,2020-05-01,2020,5,29.46,87.65,73.32,5.22,5.0,0.04513,0.00781,0.00476,0.289,731391,130.03,12.5,1264
CDMX,2020-05-01,2020,5,22.12,87.32,70.97,21.15,37.05,0.04998,0.0294,0.01447,0.607,9209944,6160.5,14.2,26006
Durango,2020-05-01,2020,5,21.48,54.59,69.16,9.57,19.58,0.05176,0.01068,0.00865,0.529,1832650,14.86,12.0,3758
Guanajuato,2020-05-01,2020,5,26.11,68.42,66.01,14.74,27.31,0.04341,0.01982,0.0121,0.736,6166934,201.49,12.2,11448
Guerrero,2020-05-01,2020,5,29.68,85.75,59.1,11.08,23.19,0.05244,0.01207,0.00906,0.551,3540685,55.67,13.8,6900
Hidalgo,2020-05-01,2020,5,23.05,67.23,67.05,8.48,6.74,0.04466,0.01367,0.00701,0.353,3082841,148.12,13.0,5994
Jalisco,2020-05-01,2020,5,24.43,82.7,61.0,15.5,17.39,0.04831,0.02174,0.01154,0.482,8348151,106.23,12.4,16953
Edomex,2020-05-01,2020,5,21.35,68.83,55.6,16.62,27.92,0.05118,0.02539,0.01115,0.49,16992418,760.05,11.9,44879
Michoacán,2020-05-01,2020,5,24.16,70.52,69.42,12.66,23.46,0.05094,0.01689,0.00935,0.235,4748846,81.04,13.2,9658
Morelos,2020-05-01,2020,5,25.56,81.75,67.7,13.24,26.17,0.04661,0.01687,0.01035,0.466,1971520,404.08,13.5,4385
Nayarit,2020-05-01,2020,5,28.97,78.16,58.52,13.44,15.33,0.05176,0.01825,0.011,0.42,1235456,44.42,12.8,2449
Nuevo León,2020-05-01,2020,5,24.05,67.34,68.28,19.14,37.02,0.04698,0.02815,0.01437,0.577,5784442,90.16,10.8,13553
Oaxaca,2020-05-01,2020,5,26.42,75.03,59.18,8.2,10.37,0.05199,0.01243,0.00552,0.1,4132148,44.07,14.8,6995
Puebla,2020-05-01,2020,5,23.58,67.21,63.62,16.98,29.05,0.04609,0.02544,0.01409,0.496,6583278,191.9,12.6,14236
Querétaro,2020-05-01,2020,5,25.6,65.66,68.18,10.85,19.81,0.04508,0.01292,0.00822,0.418,2368467,202.71,11.2,4526
Quintana Roo,2020-05-01,2020,5,29.97,90.12,81.65,12.54,28.38,0.05276,0.01639,0.00961,0.475,1857985,41.56,9.5,3345
San Luis Potosí,2020-05-01,2020,5,24.46,79.35,71.71,8.77,20.53,0.04939,0.00967,0.007,0.35,2822255,46.16,12.5,4899
Sinaloa,2020-05-01,2020,5,27.04,85.91,61.97,9.65,7.09,0.0524,0.01193,0.00598,0.47,3026943,52.77,12.0,5153
Sonora,2020-05-01,2020,5,28.65,13.37,48.6,7.07,11.09,0.05009,0.00886,0.0055,0.19,2944840,16.42,11.2,4656
Tabasco,2020-05-01,2020,5,32.24,157.18,76.23,6.04,10.39,0.047,0.00857,0.00472,0.1,2402598,97.15,12.5,3463
Tamaulipas,2020-05-01,2020,5,26.86,63.18,65.68,14.28,24.3,0.04909,0.01983,0.01001,0.49,3527735,44.0,11.5,6087
Tlaxcala,2020-05-01,2020,5,22.77,71.0,65.41,10.87,15.75,0.05173,0.01412,0.00704,0.426,1342977,336.5,12.2,2739
Veracruz,2020-05-01,2020,5,23.41,154.44,78.14,10.68,24.98,0.05017,0.01509,0.00799,0.356,8062579,112.26,13.5,16840
Yucatán,2020-05-01,2020,5,28.84,63.42,82.65,9.56,9.48,0.04737,0.01396,0.00757,0.219,2320898,58.72,12.5,4039
Zacatecas,2020-05-01,2020,5,22.86,58.5,66.07,9.29,12.45,0.04413,0.01169,0.00629,0.389,1622138,21.55,12.8,2834
Aguascalientes,2020-06-01,2020,6,29.57,79.47,75.74,7.44,5.0,0.05207,0.00579,0.00626,0.389,1425607,253.76,11.5,2383
Baja California,2020-06-01,2020,6,24.09,95.54,71.7,9.95,10.81,0.04698,0.01033,0.0074,0.258,3769020,52.75,10.2,6674
Baja California Sur,2020-06-01,2020,6,27.72,21.89,67.39,7.44,20.16,0.04955,0.01019,0.00529,0.362,798447,10.8,9.8,1358
Campeche,2020-06-01,2020,6,31.52,201.63,74.06,4.79,11.19,0.05066,0.00406,0.00295,0.114,928363,16.03,12.0,1480
Chiapas,2020-06-01,2020,6,28.3,199.25,70.53,7.07,17.26,0.05452,0.00929,0.00494,0.276,5543828,75.64,14.5,9023
Chihuahua,2020-06-01,2020,6,28.69,18.35,53.8,7.53,14.7,0.0509,0.00856,0.00698,0.157,3741869,15.12,11.8,6393
Coahuila,2020-06-01,2020,6,34.61,85.76,47.75,10.86,16.36,0.04933,0.01327,0.00876,0.299,3146771,20.76,11.0,5730
Colima,2020-06-01,2020,6,29.88,85.99,69.25,8.52,22.47,0.05189,0.01026,0.00442,0.25,731391,130.03,12.5,1327
CDMX,2020-06-01,2020,6,27.99,100.49,80.26,18.1,28.68,0.05188,0.02345,0.01128,0.52,9209944,6160.5,14.2,20694
Durango,2020-06-01,2020,6,27.65,102.55,77.22,4.32,9.65,0.05081,0.001,0.00331,0.107,1832650,14.86,12.0,2500
Guanajuato,2020-06-01,2020,6,27.85,105.99,68.65,15.26,24.22,0.0503,0.01685,0.01203,0.457,6166934,201.49,12.2,12732
Guerrero,2020-06-01,2020,6,31.47,72.98,77.68,3.85,6.38,0.05127,0.00472,0.00321,0.117,3540685,55.67,13.8,6020
Hidalgo,2020-06-01,2020,6,28.12,104.57,72.28,8.08,19.38,0.05045,0.00941,0.00442,0.367,3082841,148.12,13.0,5509
Jalisco,2020-06-01,2020,6,25.76,69.68,76.8,11.87,22.58,0.05122,0.01458,0.00834,0.177,8348151,106.23,12.4,15220
Edomex,2020-06-01,2020,6,25.17,94.06,71.75,18.03,26.51,0.04532,0.02316,0.01239,0.579,16992418,760.05,11.9,36737
Michoacán,2020-06-01,2020,6,25.12,93.37,75.19,7.15,18.54,0.05329,0.00568,0.00672,0.417,4748846,81.04,13.2,9349
Morelos,2020-06-01,2020,6,26.29,82.71,66.55,13.7,21.95,0.04983,0.0167,0.01031,0.543,1971520,404.08,13.5,3913
Nayarit,2020-06-01,2020,6,32.44,71.1,82.28,3.39,5.0,0.05499,0.0056,0.00213,0.1,1235456,44.42,12.8,2007
Nuevo León,2020-06-01,2020,6,28.66,104.31,73.1,12.91,18.4,0.04835,0.01623,0.00893,0.348,5784442,90.16,10.8,10940
Oaxaca,2020-06-01,2020,6,28.08,84.0,79.21,8.8,12.12,0.05355,0.01397,0.00685,0.445,4132148,44.07,14.8,7522
Puebla,2020-06-01,2020,6,29.17,105.22,70.7,17.88,33.06,0.05208,0.02201,0.01444,0.31,6583278,191.9,12.6,13201
Querétaro,2020-06-01,2020,6,30.21,90.9,72.39,12.41,25.33,0.05179,0.01783,0.01108,0.392,2368467,202.71,11.2,4554
Quintana Roo,2020-06-01,2020,6,30.17,103.76,84.66,9.19,15.09,0.04763,0.0114,0.00654,0.297,1857985,41.56,9.5,2855
San Luis Potosí,2020-06-01,2020,6,25.68,72.45,63.8,12.02,18.08,0.04652,0.01623,0.00902,0.455,2822255,46.16,12.5,5299
Sinaloa,2020-06-01,2020,6,29.34,104.75,70.01,10.39,25.56,0.05164,0.01181,0.00749,0.375,3026943,52.77,12.0,5797
Sonora,2020-06-01,2020,6,35.75,20.6,52.0,9.6,15.34,0.05297,0.00971,0.00706,0.347,2944840,16.42,11.2,4419
Tabasco,2020-06-01,2020,6,33.52,221.92,85.43,5.2,15.37,0.05289,0.0044,0.00334,0.145,2402598,97.15,12.5,3872
Tamaulipas,2020-06-01,2020,6,28.44,77.23,73.99,7.16,18.21,0.04537,0.00546,0.00562,0.203,3527735,44.0,11.5,6318
Tlaxcala,2020-06-01,2020,6,24.76,106.13,63.28,11.42,22.98,0.05385,0.01215,0.00682,0.492,1342977,336.5,12.2,2902
Veracruz,2020-06-01,2020,6,25.21,223.37,85.03,7.72,20.27,0.05227,0.00859,0.00536,0.117,8062579,112.26,13.5,13643
Yucatán,2020-06-01,2020,6,32.66,71.93,78.11,7.36,13.89,0.05499,0.00622,0.00445,0.339,2320898,58.72,12.5,3999
Zacatecas,2020-06-01,2020,6,27.38,91.94,78.33,8.59,19.97,0.04521,0.00886,0.00587,0.283,1622138,21.55,12.8,2718
Aguascalientes,2020-07-01,2020,7,31.63,96.36,67.35,7.13,10.5,0.04536,0.00502,0.00515,0.194,1425607,253.76,11.5,2457
Baja California,2020-07-01,2020,7,26.28,88.15,74.34,6.67,16.5,0.0487,0.00632,0.00359,0.265,3769020,52.75,10.2,5879
Baja California Sur,2020-07-01,2020,7,28.48,19.82,69.47,3.35,5.0,0.04935,0.00668,0.00074,0.1,798447,10.8,9.8,1166
Campeche,2020-07-01,2020,7,31.98,203.04,68.43,3.45,10.43,0.0461,0.00968,0.00224,0.1,928363,16.03,12.0,1478
Chiapas,2020-07-01,2020,7,31.23,205.08,71.17,8.03,11.54,0.04508,0.00915,0.00386,0.404,5543828,75.64,14.5,9440
Chihuahua,2020-07-01,2020,7,32.79,25.89,61.39,4.07,5.0,0.04737,0.00403,0.00333,0.1,3741869,15.12,11.8,5147
Coahuila,2020-07-01,2020,7,36.87,104.47,55.53,7.09,6.07,0.04807,0.00937,0.0055,0.201,3146771,20.76,11.0,4925
Colima,2020-07-01,2020,7,30.69,97.61,76.68,5.42,5.0,0.04933,0.00499,0.00319,0.165,731391,130.03,12.5,1080
CDMX,2020-07-01,2020,7,28.71,86.84,79.23,19.01,36.7,0.05027,0.02448,0.01406,0.554,9209944,6160.5,14.2,23487
Durango,2020-07-01,2020,7,31.81,107.73,70.23,6.59,5.17,0.05171,0.00764,0.00321,0.156,1832650,14.86,12.0,2537
Guanajuato,2020-07-01,2020,7,30.94,89.94,69.51,11.77,18.29,0.04351,0.01323,0.00807,0.339,6166934,201.49,12.2,10415
Guerrero,2020-07-01,2020,7,31.07,105.26,76.81,7.98,13.23,0.04956,0.0124,0.00544,0.166,3540685,55.67,13.8,6402
Hidalgo,2020-07-01,2020,7,29.41,81.59,74.06,8.86,13.07,0.051,0.01069,0.0064,0.155,3082841,148.12,13.0,5458
Jalisco,2020-07-01,2020,7,28.48,78.73,77.22,13.72,25.82,0.0497,0.01769,0.00955,0.417,8348151,106.23,12.4,16624
Edomex,2020-07-01,2020,7,25.79,96.28,75.84,16.62,27.04,0.05057,0.01916,0.01228,0.608,16992418,760.05,11.9,38529
Michoacán,2020-07-01,2020,7,26.96,88.28,75.7,11.51,22.85,0.05236,0.01316,0.00962,0.42,4748846,81.04,13.2,9131
Morelos,2020-07-01,2020,7,25.69,81.79,74.75,8.57,13.19,0.04597,0.00615,0.00739,0.2,1971520,404.08,13.5,3670
Nayarit,2020-07-01,2020,7,30.8,88.48,69.66,5.66,9.29,0.05195,0.00534,0.00444,0.1,1235456,44.42,12.8,2171
Nuevo León,2020-07-01,2020,7,29.23,106.2,79.04,6.3,7.17,0.0431,0.0079,0.00524,0.24,5784442,90.16,10.8,8552
Oaxaca,2020-07-01,2020,7,27.36,78.94,78.2,7.01,10.61,0.04538,0.00966,0.00685,0.1,4132148,44.07,14.8,6837
Puebla,2020-07-01,2020,7,29.03,78.74,81.78,8.27,14.71,0.04428,0.01104,0.00555,0.109,6583278,191.9,12.6,10924
Querétaro,2020-07-01,2020,7,33.08,114.73,76.92,11.69,23.62,0.05145,0.01461,0.00853,0.414,2368467,202.71,11.2,4418
Quintana Roo,2020-07-01,2020,7,31.63,96.92,86.94,7.99,13.74,0.04399,0.01131,0.00492,0.196,1857985,41.56,9.5,2724
San Luis Potosí,2020-07-01,2020,7,28.85,81.33,67.9,8.48,20.82,0.05216,0.00665,0.00585,0.14,2822255,46.16,12.5,4923
Sinaloa,2020-07-01,2020,7,32.22,86.03,66.3,8.8,12.77,0.05246,0.00979,0.00707,0.229,3026943,52.77,12.0,5173
Sonora,2020-07-01,2020,7,35.75,21.17,56.15,7.6,21.37,0.05227,0.01121,0.00527,0.251,2944840,16.42,11.2,4738
Tabasco,2020-07-01,2020,7,32.88,235.44,91.29,4.87,11.19,0.04923,0.00871,0.00164,0.1,2402598,97.15,12.5,3830
Tamaulipas,2020-07-01,2020,7,29.99,92.92,82.88,8.16,5.0,0.04638,0.01034,0.00747,0.241,3527735,44.0,11.5,5839
Tlaxcala,2020-07-01,2020,7,28.2,97.29,72.82,11.21,13.97,0.04657,0.01312,0.00926,0.266,1342977,336.5,12.2,2497
Veracruz,2020-07-01,2020,7,29.25,232.34,89.77,6.43,7.77,0.04629,0.01021,0.00536,0.187,8062579,112.26,13.5,14713
Yucatán,2020-07-01,2020,7,31.88,79.96,96.61,7.01,13.04,0.05092,0.0121,0.00604,0.184,2320898,58.72,12.5,3993
Zacatecas,2020-07-01,2020,7,29.52,93.55,79.15,3.95,5.76,0.05257,0.00669,0.00259,0.131,1622138,21.55,12.8,2175
Aguascalientes,2020-08-01,2020,8,31.11,71.04,78.27,11.45,13.42,0.04316,0.01611,0.01054,0.247,1425607,253.76,11.5,2430
Baja California,2020-08-01,2020,8,23.97,76.06,74.53,11.71,23.95,0.04409,0.01148,0.00796,0.429,3769020,52.75,10.2,7013
Baja California Sur,2020-08-01,2020,8,26.74,21.51,77.41,6.16,10.99,0.04473,0.0092,0.00393,0.323,798447,10.8,9.8,1111
Campeche,2020-08-01,2020,8,32.5,197.88,76.05,12.27,16.64,0.04724,0.01633,0.00874,0.32,928363,16.03,12.0,1779
Chiapas,2020-08-01,2020,8,27.93,194.89,75.99,10.96,16.19,0.04358,0.01454,0.00811,0.226,5543828,75.64,14.5,10567
Chihuahua,2020-08-01,2020,8,31.71,17.53,50.42,6.08,5.0,0.04237,0.00835,0.0036,0.1,3741869,15.12,11.8,5704
Coahuila,2020-08-01,2020,8,32.33,84.04,50.63,10.99,30.47,0.03981,0.01593,0.00646,0.366,3146771,20.76,11.0,5709
Colima,2020-08-01,2020,8,28.23,83.57,76.31,6.65,12.3,0.04356,0.00631,0.00482,0.254,731391,130.03,12.5,1193
CDMX,2020-08-01,2020,8,23.96,71.88,78.66,18.51,38.59,0.04364,0.01735,0.01396,0.405,9209944,6160.5,14.2,24436
Durango,2020-08-01,2020,8,28.05,81.42,75.5,10.93,18.55,0.03912,0.01559,0.00681,0.426,1832650,14.86,12.0,2961
Guanajuato,2020-08-01,2020,8,30.33,71.71,69.77,7.33,18.21,0.03983,0.00946,0.00776,0.131,6166934,201.49,12.2,11946
Guerrero,2020-08-01,2020,8,34.4,73.03,71.83,5.95,9.6,0.03823,0.00724,0.00294,0.169,3540685,55.67,13.8,6281
Hidalgo,2020-08-01,2020,8,26.46,90.98,71.12,11.64,13.64,0.04727,0.014,0.00821,0.395,3082841,148.12,13.0,5637
Jalisco,2020-08-01,2020,8,26.37,82.32,73.4,12.01,20.52,0.0472,0.01715,0.00946,0.375,8348151,106.23,12.4,16749
Edomex,2020-08-01,2020,8,25.9,81.55,78.85,18.28,45.21,0.04573,0.02256,0.01364,0.507,16992418,760.05,11.9,39419
Michoacán,2020-08-01,2020,8,25.49,70.55,78.69,12.69,14.9,0.03869,0.01611,0.00966,0.273,4748846,81.04,13.2,8132
Morelos,2020-08-01,2020,8,27.45,95.84,79.74,9.46,5.0,0.0474,0.01094,0.00553,0.379,1971520,404.08,13.5,3357
Nayarit,2020-08-01,2020,8,29.06,72.23,77.28,7.11,11.7,0.0416,0.00878,0.00549,0.259,1235456,44.42,12.8,1968
Nuevo León,2020-08-01,2020,8,30.23,72.8,71.18,15.46,27.08,0.0434,0.02158,0.00981,0.433,5784442,90.16,10.8,11334
Oaxaca,2020-08-01,2020,8,27.9,75.87,72.35,9.65,24.8,0.0443,0.00928,0.00598,0.181,4132148,44.07,14.8,8029
Puebla,2020-08-01,2020,8,26.35,69.3,70.67,11.27,22.54,0.04719,0.0145,0.00717,0.393,6583278,191.9,12.6,12044
Querétaro,2020-08-01,2020,8,29.0,105.45,73.51,11.46,14.49,0.04736,0.01272,0.00808,0.34,2368467,202.71,11.2,3886
Quintana Roo,2020-08-01,2020,8,31.44,95.36,89.26,3.0,5.0,0.04412,0.00643,0.00204,0.131,1857985,41.56,9.5,2388
San Luis Potosí,2020-08-01,2020,8,27.3,79.08,74.35,10.74,9.37,0.03962,0.01447,0.0085,0.306,2822255,46.16,12.5,4422
Sinaloa,2020-08-01,2020,8,28.88,94.3,78.08,8.5,12.59,0.03903,0.00962,0.00726,0.329,3026943,52.77,12.0,4809
Sonora,2020-08-01,2020,8,34.47,20.94,49.56,9.04,15.02,0.04501,0.01151,0.00631,0.361,2944840,16.42,11.2,4694
Tabasco,2020-08-01,2020,8,33.04,203.95,78.45,2.0,5.0,0.03956,0.00188,0.00305,0.1,2402598,97.15,12.5,3566
Tamaulipas,2020-08-01,2020,8,29.7,102.07,74.16,11.83,12.89,0.03906,0.01158,0.00885,0.37,3527735,44.0,11.5,6569
Tlaxcala,2020-08-01,2020,8,24.01,108.92,69.32,10.11,19.99,0.04722,0.0129,0.00643,0.24,1342977,336.5,12.2,2871
Veracruz,2020-08-01,2020,8,28.13,189.94,89.2,13.3,22.07,0.04582,0.02111,0.0087,0.476,8062579,112.26,13.5,14614
Yucatán,2020-08-01,2020,8,31.58,79.06,92.2,5.96,13.78,0.04082,0.00626,0.00365,0.215,2320898,58.72,12.5,4002
Zacatecas,2020-08-01,2020,8,27.96,73.82,73.35,7.33,12.09,0.04748,0.00691,0.00646,0.247,1622138,21.55,12.8,2664
Aguascalientes,2020-09-01,2020,9,23.53,61.55,62.7,5.15,5.0,0.03289,0.00799,0.00326,0.1,1425607,253.76,11.5,2370
Baja California,2020-09-01,2020,9,22.65,74.55,63.23,17.11,34.81,0.0368,0.0211,0.01178,0.471,3769020,52.75,10.2,8884
Baja California Sur,2020-09-01,2020,9,24.84,15.85,58.74,6.6,14.4,0.03065,0.00725,0.0057,0.16,798447,10.8,9.8,1196
Campeche,2020-09-01,2020,9,30.32,172.18,61.79,6.62,6.41,0.03134,0.01005,0.00708,0.286,928363,16.03,12.0,1406
Chiapas,2020-09-01,2020,9,28.14,155.03,59.63,8.67,19.72,0.0399,0.01182,0.00536,0.263,5543828,75.64,14.5,10859
Chihuahua,2020-09-01,2020,9,24.38,17.38,44.9,7.35,13.9,0.03842,0.0077,0.0073,0.254,3741869,15.12,11.8,6178
Coahuila,2020-09-01,2020,9,27.06,60.18,47.24,9.9,18.61,0.03313,0.01388,0.00641,0.462,3146771,20.76,11.0,5399
Colima,2020-09-01,2020,9,28.06,55.65,63.92,10.21,17.86,0.03218,0.01289,0.00749,0.508,731391,130.03,12.5,1371
CDMX,2020-09-01,2020,9,23.32,71.96,66.85,18.57,29.86,0.03662,0.02634,0.01644,0.738,9209944,6160.5,14.2,25018
Durango,2020-09-01,2020,9,23.76,83.64,69.84,11.21,14.51,0.03902,0.01777,0.00798,0.363,1832650,14.86,12.0,3379
Guanajuato,2020-09-01,2020,9,24.26,91.19,66.13,14.41,26.18,0.03122,0.01602,0.012,0.495,6166934,201.49,12.2,12628
Guerrero,2020-09-01,2020,9,28.8,84.58,63.83,9.37,18.19,0.03822,0.01124,0.00628,0.384,3540685,55.67,13.8,6041
Hidalgo,2020-09-01,2020,9,22.87,87.76,65.62,8.81,23.74,0.03426,0.01075,0.00849,0.502,3082841,148.12,13.0,6952
Jalisco,2020-09-01,2020,9,23.57,71.33,56.09,18.14,30.6,0.03451,0.02622,0.01401,0.528,8348151,106.23,12.4,18095
Edomex,2020-09-01,2020,9,21.3,55.77,68.49,21.68,42.84,0.0386,0.02713,0.01569,0.806,16992418,760.05,11.9,45820
Michoacán,2020-09-01,2020,9,25.91,72.1,67.51,16.04,30.41,0.03215,0.02334,0.01279,0.697,4748846,81.04,13.2,9415
Morelos,2020-09-01,2020,9,26.51,83.06,60.5,9.47,15.48,0.03204,0.01383,0.00744,0.203,1971520,404.08,13.5,3552
Nayarit,2020-09-01,2020,9,27.35,64.13,56.12,10.73,14.95,0.03008,0.01736,0.00835,0.431,1235456,44.42,12.8,1943
Nuevo León,2020-09-01,2020,9,26.43,70.33,71.51,19.7,33.18,0.03758,0.02524,0.01467,0.61,5784442,90.16,10.8,11985
Oaxaca,2020-09-01,2020,9,26.44,64.27,61.14,11.39,24.7,0.03246,0.01723,0.00951,0.256,4132148,44.07,14.8,7660
Puebla,2020-09-01,2020,9,24.49,78.08,65.21,15.31,22.87,0.03427,0.02376,0.01224,0.657,6583278,191.9,12.6,13841
Querétaro,2020-09-01,2020,9,25.92,58.53,72.39,12.55,16.94,0.03259,0.01859,0.01048,0.477,2368467,202.71,11.2,4157
Quintana Roo,2020-09-01,2020,9,27.43,58.83,77.52,8.4,10.19,0.0355,0.01159,0.00617,0.26,1857985,41.56,9.5,2808
San Luis Potosí,2020-09-01,2020,9,23.01,88.65,65.6,12.53,25.38,0.03926,0.01783,0.00996,0.249,2822255,46.16,12.5,6090
Sinaloa,2020-09-01,2020,9,26.69,77.64,59.52,8.65,11.92,0.03468,0.01264,0.00514,0.308,3026943,52.77,12.0,5007
Sonora,2020-09-01,2020,9,30.56,18.0,53.91,8.74,14.66,0.0375,0.01091,0.00552,0.396,2944840,16.42,11.2,4746
Tabasco,2020-09-01,2020,9,31.1,148.53,78.45,5.62,7.89,0.03621,0.01128,0.00296,0.218,2402598,97.15,12.5,4163
Tamaulipas,2020-09-01,2020,9,27.22,64.46,65.88,14.2,21.16,0.03611,0.01829,0.00965,0.237,3527735,44.0,11.5,6059
Tlaxcala,2020-09-01,2020,9,21.36,79.7,73.0,13.9,16.88,0.03799,0.01455,0.00989,0.387,1342977,336.5,12.2,2990
Veracruz,2020-09-01,2020,9,26.68,172.95,79.46,15.33,26.49,0.03435,0.01936,0.01174,0.493,8062579,112.26,13.5,16327
Yucatán,2020-09-01,2020,9,29.73,61.98,82.17,6.82,5.0,0.03597,0.01061,0.00358,0.204,2320898,58.72,12.5,3583
Zacatecas,2020-09-01,2020,9,23.57,58.37,51.39,6.11,11.82,0.03611,0.00654,0.00437,0.103,1622138,21.55,12.8,2758
Aguascalientes,2020-10-01,2020,10,17.07,42.02,45.83,15.76,29.55,0.02651,0.02242,0.01179,0.653,1425607,253.76,11.5,4027
Baja California,2020-10-01,2020,10,18.8,47.99,54.25,16.93,30.04,0.03134,0.02546,0.01269,0.631,3769020,52.75,10.2,8821
Baja California Sur,2020-10-01,2020,10,22.59,10.84,60.28,11.01,16.88,0.02875,0.01352,0.00864,0.469,798447,10.8,9.8,1446
Campeche,2020-10-01,2020,10,23.53,100.86,57.51,8.55,21.15,0.02429,0.01636,0.00775,0.406,928363,16.03,12.0,1724
Chiapas,2020-10-01,2020,10,23.71,118.33,54.0,17.1,25.51,0.02916,0.02281,0.0139,0.758,5543828,75.64,14.5,12784
Chihuahua,2020-10-01,2020,10,16.24,8.64,49.57,10.39,15.55,0.02561,0.01605,0.01043,0.332,3741869,15.12,11.8,8868
Coahuila,2020-10-01,2020,10,22.79,65.49,34.91,17.44,40.79,0.03063,0.02674,0.01416,0.746,3146771,20.76,11.0,7075
Colima,2020-10-01,2020,10,25.5,45.5,60.98,9.37,17.59,0.02756,0.01343,0.0079,0.442,731391,130.03,12.5,1301
